code,parent_code,name
01.13,01.1,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды"
01.13.1,01.13,Культуры овощные салатные или зеленые
01.13.11,01.13.1,Спаржа
01.13.11.000,01.13.11,Спаржа
01.13.12,01.13.1,Капуста
01.13.12.110,01.13.12,Капуста брюссельская
01.13.12.120,01.13.12,Капуста белокочанная
01.13.12.130,01.13.12,Капуста краснокочанная
01.13.12.140,01.13.12,Капуста савойская
01.13.12.150,01.13.12,Капуста пекинская
01.13.12.160,01.13.12,Кольраби
01.13.12.190,01.13.12,Капуста прочая
01.13.13,01.13.1,Капуста цветная и брокколи
01.13.13.000,01.13.13,Капуста цветная и брокколи
01.13.14,01.13.1,Салат-латук
01.13.14.000,01.13.14,Салат-латук
01.13.15,01.13.1,Салат цикорный (витлуф)
01.13.15.000,01.13.15,Салат цикорный (витлуф)
01.13.16,01.13.1,Шпинат
01.13.16.000,01.13.16,Шпинат
01.13.17,01.13.1,Артишоки
01.13.17.000,01.13.17,Артишоки
01.13.19,01.13.1,Овощи листовые или стебельные прочие
01.13.19.000,01.13.19,Овощи листовые или стебельные прочие
01.13.2,01.13,Культуры бахчевые
01.13.21,01.13.2,Арбузы
01.13.21.000,01.13.21,Арбузы
01.13.29,01.13.2,Культуры бахчевые прочие
01.13.29.000,01.13.29,Культуры бахчевые прочие
01.13.3,01.13,Культуры овощные плодовые прочие
01.13.31,01.13.3,"Перец стручковый и горошковый черный, не сушеный"
01.13.31.000,01.13.31,"Перец стручковый и горошковый черный, не сушеный"
01.13.32,01.13.3,Огурцы
01.13.32.000,01.13.32,Огурцы
01.13.33,01.13.3,Баклажаны
01.13.33.000,01.13.33,Баклажаны
01.13.34,01.13.3,Томаты (помидоры)
01.13.34.000,01.13.34,Томаты (помидоры)
01.13.39,01.13.3,"Культуры овощные плодовые прочие, не включенные в другие группировки"
01.13.39.110,01.13.39,Кабачки
01.13.39.120,01.13.39,Кукуруза сахарная
01.13.39.130,01.13.39,Тыквы
01.13.39.140,01.13.39,Патиссоны
01.13.39.190,01.13.39,"Культуры овощные плодовые прочие, не включенные в другие группировки"
01.13.4,01.13,"Корнеплоды и клубнеплоды овощные, культуры овощные луковичные"
01.13.41,01.13.4,"Морковь, репа, брюква"
01.13.41.110,01.13.41,Морковь столовая
01.13.41.120,01.13.41,Репа
01.13.41.130,01.13.41,Брюква
01.13.42,01.13.4,Чеснок
01.13.42.000,01.13.42,Чеснок
01.13.43,01.13.4,"Культуры овощные луковичные"
01.13.43.110,01.13.43,Лук репчатый
01.13.43.120,01.13.43,Лук-шалот
01.13.43.190,01.13.43,Культуры овощные луковичные прочие
01.13.44,01.13.4,Лук-порей и прочие культуры овощные луковичные
01.13.44.000,01.13.44,Лук-порей и прочие культуры овощные луковичные
01.13.49,01.13.4,"Корнеплоды и клубнеплоды овощные, культуры овощные луковичные (без высокого содержания крахмала или инулина), прочие"
01.13.49.110,01.13.49,Свекла столовая
01.13.49.120,01.13.49,Редька
01.13.49.130,01.13.49,Редис
01.13.49.190,01.13.49,"Корнеплоды и клубнеплоды овощные, культуры овощные луковичные (без высокого содержания крахмала или инулина), прочие"
01.13.5,01.13,Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина
01.13.51,01.13.5,Картофель
01.13.51.110,01.13.51,Картофель столовый ранний
01.13.51.120,01.13.51,Картофель столовый поздний
01.13.51.130,01.13.51,Семена картофеля
01.13.52,01.13.5,Батат (картофель сладкий)
01.13.52.000,01.13.52,Батат (картофель сладкий)
01.13.53,01.13.5,Маниок (кассава)
01.13.53.000,01.13.53,Маниок (кассава)
01.13.59,01.13.5,"Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина, прочие"
01.13.59.000,01.13.59,"Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина, прочие"
01.13.6,01.13,"Семена овощных культур, кроме семян сахарной свеклы"
01.13.60,01.13.6,"Семена овощных культур, кроме семян сахарной свеклы"
01.13.60.110,01.13.60,"Семена столовой свеклы, кроме семян сахарной свеклы"
01.13.60.120,01.13.60,"Семена однолетних овощных культур, кроме свеклы"
01.13.60.121,01.13.60.120,Лук-севок
01.13.60.129,01.13.60.120,"Семена прочих однолетних овощных культур, кроме свеклы"
01.13.60.130,01.13.60,Семена капусты всех видов
01.13.60.140,01.13.60,Семена корнеплодных овощных культур
01.13.60.150,01.13.60,Семена пасленовых овощных культур
01.13.60.160,01.13.60,Семена тыквенных овощных культур
01.13.60.170,01.13.60,Семена салатных овощных культур
01.13.60.180,01.13.60,Семена зеленых овощных культур
01.13.60.190,01.13.60,Семена бобовых овощных культур
01.13.60.210,01.13.60,Семена двухлетних овощных культур
01.13.60.220,01.13.60,Семена многолетних овощных культур
01.13.60.230,01.13.60,Семена бахчевых культур
01.13.60.240,01.13.60,Семенники овощных культур
01.13.60.250,01.13.60,Семенники бахчевых культур
01.13.60.260,01.13.60,"Маточники овощных культур, кроме свеклы"
01.13.7,01.13,Свекла сахарная и семена сахарной свеклы
01.13.71,01.13.7,Свекла сахарная
01.13.71.000,01.13.71,Свекла сахарная
01.13.72,01.13.7,Семена сахарной свеклы
01.13.72.110,01.13.72,Семена сахарной свеклы шлифованные
01.13.72.120,01.13.72,Семена сахарной свеклы дражированные
01.13.72.130,01.13.72,Семена сахарной свеклы инкрустированные
01.13.72.140,01.13.72,Семенники сахарной свеклы
01.13.72.150,01.13.72,Маточники сахарной свеклы
01.13.8,01.13,Грибы и трюфели
01.13.80,01.13.8,Грибы и трюфели
01.13.80.000,01.13.80,Грибы и трюфели
01.13.9,01.13,"Овощи свежие, не включенные в другие группировки"
01.13.90,01.13.9,"Овощи свежие, не включенные в другие группировки"
01.13.90.000,01.13.90,"Овощи свежие, не включенные в другие группировки"
01.14,01.1,Тростник сахарный
01.14.1,01.14,Тростник сахарный
01.14.10,01.14.1,Тростник сахарный
01.14.10.000,01.14.10,Тростник сахарный
01.15,01.1,Табак необработанный
01.15.1,01.15,Табак необработанный
01.15.10,01.15.1,Табак необработанный
01.15.10.110,01.15.10,Табак ферментированный с неотделенной средней жилкой
01.15.10.120,01.15.10,Табак ферментированный с частично или полностью отделенной средней жилкой
01.15.10.130,01.15.10,Табак соусированный и ароматизированный
