Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"Некоммерческое партнерство ""Воронежсанэпидблагополучие""";"Некоммерческое партнерство ""Воронежсанэпидблагополучие""";;3662070527;366201001;;;ЮЛ;394019;Да;Нет;;;;;;;
"ООО МПО ""Воронеж"" - ОШСО";"ООО МПО ""Воронеж"" - ОШСО";ООО;3666041157;366601001;;;ЮЛ;ул. Плеханоская, д. 53, офис 401, г. Воронеж, РФ, 394030;Да;Нет;;;;;;;
"ООО ""Альфа Белогорье""";"ООО ""Альфа Белогорье""";ООО;3123192058;312301001;;;ЮЛ;г.Белгород ул.Сумская д.64;Да;Нет;;;;;;;
"ООО ""Сокол""";"ООО ""Сокол""";ООО;3666168668;366601001;;;ЮЛ;394028 Россия, г.Воронеж, ул.Средне-Московская д.29, оф.211;Да;Нет;;;;;;;
"ЗАО ""ТПК ""Союз""";"ЗАО ""ТПК ""Союз""";ЗАО;2130060156;213001001;;;ЮЛ;428000, Чувашская Республика, г.Чебоксары, пр.Московский, д.14, офис №7;Да;Нет;;;;;;;
"ООО ""Компания Ровингер""";"ООО ""Компания Ровингер""";ООО;7709610697;770901001;;;ЮЛ;105120, г. Москва, Сыромятнический пер., д.1, стр.9;Да;Нет;;;;;;;
"ЗАО ""Оптоган""";"Закрытое акционерное общество ""Оптоган""";ЗАО;7842410988;780701001;;;ЮЛ;Таллинское шоссе, д. 206, Старо-Паново д, г. Санкт-Петербург, РФ, 198205;Да;Нет;;;;;;;
"ООО ""СтандартСтрой""";"ООО ""СтандартСтрой""";ООО;7810530129;781001001;;;ЮЛ;г.Санкт-Петербург, Московское шоссе, д.44Б;Да;Нет;;;;;;;
"ООО ""Полистром""";"ООО ""Полистром""";ООО;7106505653;710301001;;;ЮЛ;300062, г. Тула, ул. Галкина, д. 284, оф. 24;Да;Нет;;;;;;;
"Управление финансов области (Областное государственное бюджетное учреждение Реабилитационно-оздоровительный центр ""Лесная сказка"" л/с 20006000120)";"Управление финансов области (Областное государственное бюджетное учреждение Реабилитационно-оздоровительный центр ""Лесная сказка"" л/с 20006000120)";;4823015024;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ЧОУ ПО ""УЦ Крансервис""";"ЧОУ ПО ""УЦ Крансервис""";;3123107020;312301001;;;ЮЛ;"308018, г.Белгород, ул. Речная,73""а""";Да;Нет;;;;;;;
"ООО ""Геосфера""";"ООО ""Геосфера""";ООО;6229033470;622901001;;;ЮЛ;390039, г. Рязань, ул.Бирюзова,д.24, кв.95;Да;Нет;;;;;;;
"ООО ""ПрофЭнергоРемСтрой""";"ООО ""ПрофЭнергоРемСтрой""";ООО;7728562216;673201001;;;ЮЛ;117393, г.Москва, ул.Наметкина, д.3;Да;Нет;;;;;;;
"ООО""ЧЭАЗ-ЭЛПРИ""";"ООО""ЧЭАЗ-ЭЛПРИ""";ООО;2128015276;213001001;;;ЮЛ;428000, г.Чебоксары, пр.И. Яковлева, д. 5.;Да;Нет;;;;;;;
"ЧУ ДПО ""УЦ ""Профессия-Промбезопасность""";"ЧУ ДПО ""УЦ ""Профессия-Промбезопасность""";;6730086851;673001001;;;ЮЛ;214031, Россия, Смоленская обл., г. Смоленск, пр-кт Строителей,  дом № 14;Да;Нет;;;;;;;
"ООО ""Электротех-ТМ""";"ООО ""Электротех-ТМ""";ООО;7708120097;784001001;;;ЮЛ;191025,г. Санкт-Петербург, Невский проспект, д. 55, литер А;Да;Нет;;;;;;;
"Общество с ограниченной ответствнностью ""ТЦ Новорижский Сервис""";"Общество с ограниченной ответствнностью ""ТЦ Новорижский Сервис""";;5024101991;502401001;;;ЮЛ;143420, Московская область, Красногорский р-н, д.Михалково, п/о Архангельское, а/д Балтия, 25 км, Торгово-складской комплекс;Да;Нет;;;;;;;
"АО ""ЕВРОЦЕМЕНТ груп""";"АО ""ЕВРОЦЕМЕНТ груп""";АО;7708117908;774850001;;;ЮЛ;Белгородская обл.г.Белгород ул.Сумская площадка цемзавода;Да;Нет;;;;;;;
УФК по Липецкой области (ФГБУ СЭУ ФПС ИПЛ по Липецкой области  л/с 20466Х86430);УФК по Липецкой области (ФГБУ СЭУ ФПС ИПЛ по Липецкой области  л/с 20466Х86430);;4824039148;482401001;;;ЮЛ;398006 , г.Липецк, ул.Краснознаменная, 2 Д;Да;Нет;;;;;;;
"ООО ""ТД Спецарматура""";"ООО ""ТД Спецарматура""";ООО;5752047847;575201001;;;ЮЛ;302043, Орловская область,г. Орел, пер. маслозаводской ,дом. №6;Да;Нет;;;;;;;
Свято-Георгиевский Мещовский мужской монастырь;Свято-Георгиевский Мещовский мужской монастырь;;4013003060;401301001;;;ЮЛ;249240, Россия, Калужская обл., Мещовский р-н, г. Мещовск, ;Да;Нет;;;;;;;
"ООО ""Поликс+""";"ООО ""Поликс+""";ООО;4312127465;431201001;;;ЮЛ;613049, г. Кирово-Чепецк, Кировская обл., ул. Ленина,  68;Да;Нет;;;;;;;
"ООО ""Торговый дом ""Фторопластовые технологии""";"ООО ""Торговый дом ""Фторопластовые технологии""";ООО;7802716497;780201001;;;ЮЛ;194100, г. С-Петербург, ул. Александра Мотросова, д. 4, корп. 2,литер Л;Да;Нет;;;;;;;
"ООО ""ТехноРесурс-Юг""";"ООО ""ТехноРесурс-Юг""";ООО;6163103250;616301001;;;ЮЛ;344006, Россия, Ростовская обл., г. Ростов-на-Дону, пр-кт Ворошиловский,  дом № 6;Да;Нет;;;;;;;
"ООО ""НТЦЭ""";"ООО ""НТЦЭ""";ООО;7816393091;781601001;;;ЮЛ;192007,  г. Санкт-Петербург, ул.Курская, 28/32, лит.А, пом.6Н;Да;Нет;;;;;;;
"ООО ""Вымпел-Сервис НН""";"ООО ""Вымпел-Сервис НН""";ООО;5262268477;526201001;;;ЮЛ;603105, г. Нижний Новгород, ул. Бориса Панина, д.3а,оф. 316;Да;Нет;;;;;;;
"ООО ""Цифровые системы""";"ООО ""Цифровые системы""";ООО;6234029013;623001001;;;ЮЛ;390000, г. Рязань,Южный Промузел, д.10, стр.1;Да;Нет;;;;;;;
"ООО ""УЦ МТЭС""";"ООО ""УЦ МТЭС""";ООО;6658365876;665801001;;;ЮЛ;620014, г. Екатеринбург, ул. Московская, д.14, оф.8;Да;Нет;;;;;;;
"ООО ""Фирма ""Интеграл""";"ООО ""Фирма ""Интеграл""";ООО;7802124356;784201001;;;ЮЛ;"191036, Российская Федерация, г. Санкт-Петербург, ул.4-я Советская, дом 15, лит.""Б""";Да;Нет;;;;;;;
"ООО ""Современные Тульские Системы""";"ООО ""Современные Тульские Системы""";ООО;7722569712;710301001;;;ЮЛ;300002, г. Тула, ул. Демидовская, д.63;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Кубань-Мототехника""";"Общество с ограниченной ответственностью ""Кубань-Мототехника""";ООО;2310129551;231001001;;;ЮЛ;350033, Краснодарский край, г.Краснодар, ул.Ставропольская, дом 9;Да;Нет;;;;;;;
"Муниципальное унитарное предприятие ""Липецктеплосеть""";"Муниципальное унитарное предприятие ""Липецктеплосеть""";ПАО;4826001982;482501001;;;ЮЛ;398032, г.Липецк, ул.Московская, 20;Да;Нет;;;;;;;
"ФГУП ""ВНИИР""";"ФГУП ""ВНИИР""";ФГУП;1660007420;166001001;;;ЮЛ;420088, Россия, Респ. Татарстан, г. Казань, ул. Азинская 2-я,  дом № 7А;Да;Нет;;;;;;;
"ООО ""БалансСервис""";"ООО ""БалансСервис""";ООО;7325038803;732501001;;;ЮЛ;432063, г. Ульяновск, ул. Льва Толстого, д.38, офис 405;Да;Нет;;;;;;;
Контрагент для расчетов по прочим доходам;Контрагент для расчетов по прочим доходам;;0000000000;000000000;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Политерм""";"ООО ""Политерм""";ООО;7825488511;781601001;;;ЮЛ;192007, Россия, г. Санкт-Петербург, ул. Воронежская, д.33, лит. А;Да;Нет;;;;;;;
"ООО ""ТЭК""";"ООО ""ТЭК""";ООО;4029038332;402901001;;;ЮЛ;248016, г. Калуга, ул. К. Либкнехта, д. 31;Да;Нет;;;;;;;
"ООО ""МЕРКОМ""";"ООО ""МЕРКОМ""";ООО;5026001576;502601001;;;ЮЛ;Московская область, г. Лыткарино, п. Тураево, НИИП;Да;Нет;;;;;;;
"ООО ""Такском""";"ООО ""Такском""";ООО;7704211201;770401001;;;ЮЛ;119121, г.Москва, ул.Плющиха, д.26/2;Да;Нет;;;;;;;
"Смоленский региональный филиал ООО ""СК""Согласие""";"Смоленский региональный филиал ООО ""СК""Согласие""";ООО;7706196090;673243001;;;ЮЛ;214013, г. Смоленск, ул. Кирова 22;Да;Нет;;;;;;;
"ООО ""Трубопроводная арматура""";"ООО ""Трубопроводная арматура""";ООО;3128077845;312801001;;;ЮЛ;"309540, Белгородская обл., г. Старый Оскол, ст. Котел, промузел, площадка ""Монтажная"", проезд Ш-6, стр. 19";Да;Нет;;;;;;;
"ООО НТЦ ""Промзащита""";"ООО НТЦ ""Промзащита""";ООО;6674166941;667401001;;;ЮЛ;620023, г.Екатеринбург, ул.Рощинская, 72;Да;Нет;;;;;;;
"ООО ""ОТСК""";"Общество с ограниченной ответственностью ""Орловская теплосетевая компания""";ООО;5751040239;575101001;;;ЮЛ;"302006, Российская Федерация, г. Орел, ул. Энергетиков,  дом  2 ""а""";Да;Нет;;;;;;;
"ООО""Компания СВИТ""";"ООО""Компания СВИТ""";ООО;7106076852;710601001;;;ЮЛ;300034 г.Тула, ул. Демонстрации, д.27, оф.8;Да;Нет;;;;;;;
"ООО ""КАМАЗцентр""";"ООО ""КАМАЗцентр""";ООО;3123102015;312301001;;;ЮЛ;308017, г.Белгород, Михайловское шоссе,19;Да;Нет;;;;;;;
"ООО ""Формула-ВР""";"ООО ""Формула-ВР""";ООО;6168023136;616801001;;;ЮЛ;344041, г.Ростов-на-Дону, ул. Доватора, д.259;Да;Нет;;;;;;;
"ООО ТК ""Вакууммаш""";"ООО ТК ""Вакууммаш""";ООО;1832078755;183201001;;;ЮЛ;426057, г.Ижевск, пр. Дерябина, дом 2/52;Да;Нет;;;;;;;
"ФГАОУ ДПО ""ПЭИПК""";"ФГАОУ ДПО ""ПЭИПК""";АО;7810216025;781001001;;;ЮЛ;196135, РФ, г. Санкт-Петербург, ул. Авиационная, д.23;Да;Нет;;;;;;;
"ООО ""Районная управляющая компания""";"ООО ""Районная управляющая компания""";ООО;4811007847;480301001;;;ЮЛ;399852, Липецкая обл., г.Данков, ул.Л.Толстого, д.34/1;Да;Нет;;;;;;;
"ООО ""Крепежэнергопром""";"ООО ""Крепежэнергопром""";ООО;3123222714;312301001;;;ЮЛ;г.Белгород ул.Корочанская д.132А;Да;Нет;;;;;;;
"ООО ""Гидромаш-Норнат""";"Общество с ограниченной ответственностью ""Гидромаш-Норнат""";ООО;7717522885;771701001;;;ЮЛ;ул. 2-я Мытищинская, 2, г. Москва, 129626;Да;Нет;;;;;;;
"ООО ""КаталогСервис""";"ООО ""КаталогСервис""";ООО;7728703202;772201001;;;ЮЛ;г. Москва  ул.Золоторожский Вал д.34 строение 6;Да;Нет;;;;;;;
"ООО ""Терсь""";"ООО ""Терсь""";ООО;6155019076;615501001;;;ЮЛ;346500, Россия, Ростовская обл., г. Шахты, ул. Советская,  дом № 271;Да;Нет;;;;;;;
УФК по г.Москве (л/сч 03731А36680 МИЭИ);УФК по г.Москве (л/сч 03731А36680 МИЭИ);;7727200460;772701001;;;ЮЛ;117418, г.Москва, Нахимовский пр-т, д.31;Да;Нет;;;;;;;
"ООО ""ВЭК-Сервис""";"Общество с ограниченной ответственностью ""ВЭК-Сервис""";ООО;3661051546;366101001;;;ЮЛ;394033, г. Воронеж, ул. Минская, д.16, офис 7/3;Да;Нет;;;;;;;
"ЗАО ""Элегант""";"ЗАО ""Элегант""";ЗАО;3651001088;365101001;;;ЮЛ;396070 Воронежская обл. г.Нововоронеж, ул.Мира, д.8;Да;Нет;;;;;;;
"ЗАО ""ТО Энергопроминвест""";"ООО ""ТО Энергопроминвест""";ЗАО;7715283663;770501001;;;ЮЛ;115184, г. Москва, ул. Большая Татарская, дом 21, стр. 8;Да;Нет;;;;;;;
"ЗАО ""МПЗТ""";"ЗАО ""МПЗТ""";ЗАО;7715766075;771501001;;;ЮЛ;127282 г.Москва, ул.Полярная,д.41, стр.1;Да;Нет;;;;;;;
ООО Пенополиуретан;ООО Пенополиуретан;ООО;5249087104;524901001;;;ЮЛ;606003 Нижегородская область, г.Дзержинск, ул.1 Мая, д.1;Да;Нет;;;;;;;
"ООО ""ИФ Легпромсофт""";"ООО ""ИФ Легпромсофт""";ООО;7715849966;771501001;;;ЮЛ;127276, Россия, г. Москва, ул. Ботаническая,  дом № 14;Да;Нет;;;;;;;
"ООО ""Промтекс""";"ООО ""Промтекс""";ООО;4826076924;482601001;;;ЮЛ;398059, г.Липецк, ул.Калинина, д.1, корп.Б, кв.3;Да;Нет;;;;;;;
"ЗАО ""Скинкеа""";"ЗАО ""Скинкеа""";ЗАО;7724529722;772901001;;;ЮЛ;119571, г.Москва, Проспект Вернадского, д.125А;Да;Нет;;;;;;;
"ООО ""Технология""";"ООО ""Технология""";ООО;3123168150;312301001;;;ЮЛ;308015, г. Белгород, бул. Свято-Троицкий, д. 25, кв. 72;Да;Нет;;;;;;;
"ООО ""Объединенный торговый дом Привод-АЗТПА""";"ООО ""Объединенный торговый дом Привод-АЗТПА""";ООО;7714290940;771401001;;;ЮЛ;121467, Россия, г. Москва, ул. Молдавская,  дом № 5, стр. 1;Да;Нет;;;;;;;
"ООО ""СПбЭК ИМПЭКС""";"ООО ""СПбЭК ИМПЭКС""";ООО;7820320184;782001001;;;ЮЛ;196603, Россия, г. Санкт-Петербург, г. Пушкин, ул. Парковая, дом. 56, лит.А;Да;Нет;;;;;;;
"ООО ""ПРЕДПРИЯТИЕ ВТИ-СЕРВИС""";"ООО ""ПРЕДПРИЯТИЕ ВТИ-СЕРВИС""";ООО;4629036792;463201001;;;ЮЛ;305000,Курск,ул. Ватутина,25,офис 2;Да;Нет;;;;;;;
"Липецкий филиал ООО ""Промтехэкспертиза""";"Липецкий филиал ООО ""Промтехэкспертиза""";ООО;7106503857;770901001;;;ЮЛ;398017, г.Липецк, ул. 9 Мая, д.14;Да;Нет;;;;;;;
"ЗАО ""РЕММА интернейшнл""";"ЗАО ""РЕММА интернейшнл""";ЗАО;7709294699;770901001;;;ЮЛ;109544, г. Москва, ул. Земляной вал, д. 50.;Да;Нет;;;;;;;
"ООО ""Технология XXI""";"ООО ""Технология XXI""";ООО;7704556622;622901001;;;ЮЛ;390042, г. Рязань, ул. Станкозаводская, д.7А;Да;Нет;;;;;;;
"ООО ""СибПрибор-ФТ""";"ООО ""СибПрибор-ФТ""";ООО;7017261388;041101001;;;ЮЛ;649000, Россия, Респ. Алтай, г. Горно-Алтайск, ул. Чорос-Гуркина Г.И.,  дом № 29;Да;Нет;;;;;;;
"Федеральное государственное унитарное предприятие ""Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК)";"Федеральное государственное унитарное предприятие ""Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК)";;7714072839;463202002;;;ЮЛ;125040, г.Москва, 5-я ул. Ямского поля, д.19-21;Да;Нет;;;;;;;
"ООО ""Геометр-Центр""";"ООО ""Геометр-Центр""";ООО;7726533756;772601001;;;ЮЛ;Россия, 117525, г.Москва, ул.Днепровская, д.3, корп.5;Да;Нет;;;;;;;
"ООО ""МЕДЕЛИЯ""";"ООО ""МЕДЕЛИЯ""";ООО;7743697514;774301001;;;ЮЛ;Россия,125413,Москва, Онежская ул., д.24, стр.1;Да;Нет;;;;;;;
ИЗиСП;"Федеральное государственное научно-исследовательское учреждение ""Институт законодательства и сравнительного правоведения при Правительстве Российской Федерации""";;7704067773;772701001;;;ЮЛ;117218, Москва, Черемушкинская Б. ул., 34;Да;Нет;;;;;;;
"ООО МРП ""Связьтехкомплект""";"ООО МРП ""Связьтехкомплект""";ООО;3666066659;366601001;;;ЮЛ;394000, г. Воронеж, пр. Революции, д. 23, к. 8;Да;Нет;;;;;;;
"ООО ""МП""";"ООО ""МП""";ООО;7718726183;772401001;;;ЮЛ;115409, Россия, г. Москва, ул. Каширское шоссе, д. 70, корпус.3;Да;Нет;;;;;;;
"АУКО ""Редакция газеты ""Курская Правда""";"АУКО ""Редакция газеты ""Курская Правда""";;4632058235;463201001;;;ЮЛ;305007, г.Курск, ул. Энгельса, д.109;Да;Нет;;;;;;;
"ООО ""Парангон""";"ООО ""Парангон""";ООО;3662128167;366201001;;;ЮЛ;394026, г. Воронеж, ул. Электросигнальная, д. 17;Да;Нет;;;;;;;
Липецкая областная общественная организация ветеранов (пенсионеров) Липецкой Энергосистемы;ЛГОО ветеранов (пенсионеров) Липецкой Энергосистемы;АНО;4824031491;482501001;;;ЮЛ;398600, Россия, Липецкая обл., г. Липецк, ул. Московская,  дом № 6;Да;Нет;;;;;;;
"ООО ""Экспресс сервис""";"ООО ""Экспресс сервис""";ООО;4826071877;482601001;;;ЮЛ;398600, г.Липецк, ул.Советская д.4;Да;Нет;;;;;;;
"ООО ""УК ""Матырское""";"ООО ""УК ""Матырское""";ООО;4823030015;482301001;;;ЮЛ;398908, г. Липецк, ул.Моршанская, д.20;Да;Нет;;;;;;;
"КПКО ""Курскаэропорт""";"КПКО ""Курскаэропорт""";;4632032727;463201001;;;ЮЛ;г.Курск, Аэропорт;Да;Нет;;;;;;;
"ООО ""Экоцентр""";"ООО ""Экоцентр""";ООО;4632083023;463201001;;;ЮЛ;305029, РФ, г.Курск, ул.Никитская 1В, офис 310-313;Да;Нет;;;;;;;
"ООО ""Техэкс""";"ООО ""Техэкс""";ООО;3123076809;312301001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Комбинат железобетонных изделий"" филиал Новооскольский";"ОАО ""Комбинат ЖБИ""";ООО;3123088949;312301001;;;ЮЛ;г.Белгород ул.К.Заслонова 187;Да;Нет;;;;;;;
"ООО ""ТелеСвязь""";"ООО ""ТелеСвязь""";ООО;7705121991;770801001;;;ЮЛ;105066, Москва, ул.Ольховская, д.45, стр.1, офис 4;Да;Нет;;;;;;;
"ООО ""СисКонт""";"ООО ""СисКонт""";ООО;5041022475;504101001;;;ЮЛ;143966, Московская обл., г.Реутов, ул.Победы, д.9;Да;Нет;;;;;;;
"ООО предприятие ""ЗИП-Научприбор""";"ООО предприятие ""ЗИП-Научприбор""";ООО;2310012810;231001001;;;ЮЛ;350072, г.Краснодар, ул.Московская, д.5;Да;Нет;;;;;;;
"ООО ""АвтоМикс""";"ООО ""АвтоМикс""";ООО;7714603053;771401001;;;ЮЛ;141090, Московская область, г.Юбилейный, ул.Пионерская, д.1/4 пом.L1 r12;Да;Нет;;;;;;;
"Комитет финансов и бюджетных отношений администрации города Белгорода (Муниципальное автономное учреждение ""Белгород-медиа"" л/с 30894223898)";"УФК по Белгородской области (УФБО г.Белгород, МУ ""Белгород-медиа"" л/с 02263003640)";;3123211511;312301001;;;ЮЛ;308023, Белгородская обл., Белгородг., Железнякова ул. д.20;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Полстар""";"Общество с ограниченной ответственностью ""Полстар""";ООО;4630000590;463201001;;;ЮЛ;305018,г.Курск,Элеваторный пер.,8;Да;Нет;;;;;;;
"АНО ""Редакция газеты ""Валуйская звезда""";"АНО ""Редакция газеты ""Валуйская звезда"" ";АНО;3126008081;312601001;;;ЮЛ;309996, РФ, Белгородская обл., г.Валуйки, ул.М.Горького,1;Да;Нет;;;;;;;
"Воронежский филиал ЗАО ""КРОКУС """;"Воронежский филиал ЗАО ""КРОКУС """;ЗАО;7728115183;366302001;;;ЮЛ;Монтажный проезд, д. 2, г. Воронеж, 394028;Да;Нет;;;;;;;
Приборы и Системы, СКБ ООО;Приборы и Системы, СКБ ООО;ООО;6215007977;621501001;;;ЮЛ;391002, Рязанская обл, Рязанский р-н, Подвязье, 1;Да;Нет;;;;;;;
"ООО ""Тверьтрубпласт""";"ООО ""Тверьтрубпласт""";ООО;6905052172;695001001;;;ЮЛ;170017, г.Тверь, промзона Лазурная, 35;Да;Нет;;;;;;;
"ООО Проектый институт ""Курскпромбезопасность""";"ООО Проектый институт ""Курскпромбезопасность""";ООО;4632089113;463201001;;;ЮЛ;305000, г.Курск, ул.Радищева д.7, офис 601;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью  ""ЭлектроСнаб""";"Общество с ограниченной ответственностью  ""ЭлектроСнаб""";ООО;3123298784;312301001;;;ЮЛ;г.Белгород 5-й Заводской пер.д36;Да;Нет;;;;;;;
"ООО ""АвтоФорум""";"ООО ""АвтоФорум""";ООО;3664093209;366401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Энергетик-Б""";"ООО ""Энергетик-Б""";ООО;6829062169;682901001;;;ЮЛ;392030, Россия, Тамбовская обл., г. Тамбов, ул. Урожайная,  дом № 2, корп. Д;Да;Нет;;;;;;;
"ООО Санаторно-курортная компания ""РУСЬ"" (ООО СКК ""РУСЬ"")";"ООО Санаторно-курортная компания ""РУСЬ"" (ООО СКК ""РУСЬ"")";ООО;3663087234;366301001;;;ЮЛ;394004, г. Воронеж, Ленинский пр-т, д.75, кв.94;Да;Нет;;;;;;;
"ООО ""Комплект-Сервис""";"ООО ""Комплект-Сервис""";ООО;7713561682;771301001;;;ЮЛ;127287, г. Москва, ул. 2-я Хуторская, д.38А стр.1;;;;;;;;;
"ООО ""МебельПроект""";"ООО ""МебельПроект""";ООО;3664099360;366401001;;;ЮЛ;394006, г. Воронеж, ул. Свободы, 73, оф.514;Да;Нет;;;;;;;
"ООО ""БТС""";"Общество с ограниченной ответственностью ""БТС""";ООО;7811394327;781101001;;;ЮЛ;192019 г.Санкт-Петербрг, набережная Обводного канала, д.14, лит.С;Да;Нет;;;;;;;
"ООО ""Автоконтроль""";"ООО ""Автоконтроль""";ООО;4824046642;482401001;;;ЮЛ;"398036, г.Липецк, Воронежское шоссе, 2 ""а""";Да;Нет;;;;;;;
"ООО ""Водолей 24""";"ООО ""Водолей 24""";ООО;6229057417;622901001;;;ЮЛ;390015, г.Рязань, ул.Забайкальская, д.15, корп.2;Да;Нет;;;;;;;
"ООО ""Отделстрой плюс""";"ООО ""Отделстрой плюс""";ООО;4821016110;482101001;;;ЮЛ;399780, Россия, Липецкая обл., Елецкий р-н, г. Елец, ул. Ломоносова,  дом № 13А;Да;Нет;;;;;;;
"МАУ ""Центр детского отдыха ""Перемена""";"МАУ ""Центр детского отдыха ""Перемена""";;3666073790;366601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Поток-Холода""";"ООО ""Поток-Холода""";ООО;7723769665;772301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Виэйра""";"ООО ""Виэйра""";ООО;7736629217;773601001;;;ЮЛ;117292, г. Москва, ул. Вавилова, д. 65, стр.1, офис 1;Да;Нет;;;;;;;
"ООО ""Камышинский опытный завод""";"ООО ""Камышинский опытный завод""";ООО;3436011278;343601001;;;ЮЛ;ул. Кубанская, д. 1Б,г. Камышин, РФ, 403888;Да;Нет;;;;;;;
"ООО ""Сименс""";"ООО ""Сименс""";ООО;7725025502;774850001;;;ЮЛ;115184, Москва, ул. Большая Татарская, д.9;Да;Нет;;;;;;;
"ЗАО ""СПЕЦКАБЕЛЬ""";"ЗАО ""СПЕЦКАБЕЛЬ""";ЗАО;7826722725;780601001;;;ЮЛ;г. Санкт-Петербург, ул. Энергетиков, д.19, РФ, 195248;Да;Нет;;;;;;;
"ООО ""Профессиональная гигиена ТМ""";"ООО ""Профессиональная гигиена ТМ""";ООО;3662172529;366201001;;;ЮЛ;ул. Машиностроителей, д. 2, г. Воронеж, 394026;Да;Нет;;;;;;;
"ООО ""Технология Рециклинга""";"ООО ""Технология Рециклинга""";ООО;3662147392;366201001;;;ЮЛ;394088, г.Воронеж, ул. Генерала Лизюкова, д.82, оф.6;Да;Нет;;;;;;;
"ЗАО ""Стинс Коман""";"ЗАО ""Стинс Коман""";ЗАО;7719036425;771901001;;;ЮЛ;105203, Москва, ул. Первомайская, д. 126;Да;Нет;;;;;;;
GE PACKAGED POWER, Inc;GE PACKAGED POWER, Inc;;0000000000;000000000;;;ЮЛ;;Да;Нет;;;;;;;
"ООО РПП ""Бликфанг""";"ООО РПП ""Бликфанг""";ООО;3662136721;366201001;;;ЮЛ;394019, г.Ворнеж, ул. Еремеева, 22л;Да;Нет;;;;;;;
"ООО ""ЧелябТракЗапчасть""";"ООО ""ЧелябТракЗапчасть""";ООО;7451290143;745101001;;;ЮЛ;454053, г.Челябинск, ул.Физкультурная, 34, оф.112;Да;Нет;;;;;;;
"ООО ""Инженерно-технический центр""";"ООО ""Инженерно-технический центр""";ООО;3123146855;312301001;;;ЮЛ;308001, г.Белгород,  III Интернационала, 23;Да;Нет;;;;;;;
"ООО ""Теплостанция""";"ООО ""Теплостанция""";ООО;3664010040;366401001;;;ЮЛ;394030, г.Воронеж, ул.40 лет Октября, 1;Да;Нет;;;;;;;
"ООО ""Виконт""";"ООО ""Виконт""";ООО;7105039657;710501001;;;ЮЛ;300027, г. Тула, ул. Металлургов, д.46А;Да;Нет;;;;;;;
"ООО ЖКХ ""Лев-Толстовское""";"ООО ЖКХ ""Лев-Толстовское""";ООО;4811012526;481201001;;;ЮЛ;399870, Липецкая обл., п.Лев Толстой, Красноармейский проезд, д.6;Да;Нет;;;;;;;
"ООО ""РУНА""";"ООО ""РУНА""";ООО;3123202027;312301001;;;ЮЛ;г. Белгород, ул. Мичурина,56, офис 121;Да;Нет;;;;;;;
"ЗАО ТД ""Водоприбор Воронеж""";"ЗАО ТД ""Водоприбор Воронеж""";ЗАО;3661050366;366101001;;;ЮЛ;Ленинский проспект, д. 172, оф.21, г. Воронеж, 394000;Да;Нет;;;;;;;
"ООО ""ПКО ""Дмитровская Теплоизоляция""";"ООО ""ПКО ""Дмитровская Теплоизоляция""";ООО;5007065172;500701001;;;ЮЛ;141800, Московская обл., г. Дмитров, ул. Профессиональная, д.135;Да;Нет;;;;;;;
Отдел финансов администрации Хлевенского района (Отдел финансов администрации Хлевенского района (МУЗ ЦРБ Хлевенского района л/с 12086000170);МУЗ ЦРБ Хлевенского района;;4817001584;481701001;;;ЮЛ;399260, Липецкая обл., Хлевенски р-н, с.Хлевное, ул.Прогресс, д.5;Да;Нет;;;;;;;
"ООО СУ ""СПЕЦСТРОЙ""";ООО СУ «СПЕЦСТРОЙ»;ООО;7734576320;773401001;;;ЮЛ;123060, г. Москва, ул. Расплетина, д. 19, офис 2;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Офис-Плюс""";"ООО ""Офис-Плюс""";ООО;4632056372;463201001;;;ЮЛ;305029, г.Курск, ул.Малых, 6;Да;Нет;;;;;;;
"ООО ""ТОЛЕТТА""";"ООО ""ТОЛЕТТА""";ООО;4027095046;402701001;;;ЮЛ;248003, г. Калуга, ул. Болдина, д. 22 офис 414;Да;Нет;;;;;;;
"ООО ""Свет Консалтинг""";"Общество с ограниченной ответственностью ""Свет Консалтинг""";ООО;7729599392;772901001;;;ЮЛ;2-й Мосфильмовский пер., д. 21/143, г. Москва, 119285;Да;Нет;;;;;;;
"ООО ""Энергоснаб""";"ООО ""Энергоснаб""";ООО;6234083469;623401001;;;ЮЛ;390027, г.Рязань, ул.Радиозаводская, д.10А;Да;Нет;;;;;;;
