Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО ""ДЕЗДЕЛО""";"ООО ""Дездело""";ООО;7113021935;711301001;;;ЮЛ;Тульская область, г. Ефремов, ул. Свердлова, д. 30а;Да;Нет;;;;;;;
"ООО ""Известь-Сервис""";"ООО ""Известь-Сервис";ООО;3666156197;366601001;;;ЮЛ;394000 г.Воронеж,проспект Революции,д.1,корп.А,оф.77;Да;Нет;;;;;;;
ОВО по городу Калуге-филиал ФГКУ УВО  УМВД России по Калужской области;ОВО по городу Калуге-филиал ФГКУ УВО  УМВД России по Калужской области;;4029047288;402743001;;;ЮЛ;248021, г.Калуга, ул.Московская, д.244-А;Да;Нет;;;;;;;
"ЗАО ""Производственно-инвестиционная компания ""ЭЛЬТА""";"ЗАО ""Производственно-инвестиционная компания ""ЭЛЬТА""";ЗАО;4821020484;482101001;;;ЮЛ;399784, Липецкая обл, Елецкий р-н, Елец г, Радиотехническая ул, дом № 5;Да;Нет;;;;;;;
"ОАО ""Тамбовский завод ЖБИ""";"ОАО ""Тамбовский завод ЖБИ""";ООО;6833002821;683301001;;;ЮЛ;392000, Тамбовская обл, Тамбовский р-н, Тамбов г, Ипподромная ул, дом № 7;Да;Нет;;;;;;;
"Филиал ФГУП ""Охрана"" МВД России по Калужской области";"Филиал ФГУП ""Охрана"" МВД России по Калужской области";ФГУП;7719555477;402902001;;;ЮЛ;105264, г.Москва, ул.5я Парковая, д.46;Да;Нет;;;;;;;
"ООО ""Экосервис""";"ООО ""Экосервис""";ООО;4826045838;482601001;;;ЮЛ;398002, Липецкая обл, Липецк г, Космонавтов, дом № 3/1, кв.65;Да;Нет;;;;;;;
"ОАО ""Тулэнергоремонт""";"ОАО ""Тулэнергоремонт""";ООО;7107067410;710701001;;;ЮЛ;300012, РФ, Тульская обл., г. Тула, ул. Тимирязева, д.101 Б, Литера И;Да;Нет;;;;;;;
"ООО ""ИТЦ ""ПромКомплектИнжиниринг""";"ООО ""ИТЦ ""ПромКомплектИнжиниринг""";ООО;6731049612;673101001;;;ЮЛ;214020 г.Смоленск,ул.Шевченко,86;Да;Нет;;;;;;;
"ООО ""АБС-Техно""";"ООО ""АБС-Техно""";ООО;3665045840;366301001;;;ЮЛ;394014, г.Воронеж, ул. Лебедева, д.6;Да;Нет;;;;;;;
"ООО ""Спецстройавтоматика""";"ООО ""Спецстройавтоматика""";ООО;3662113675;366301001;;;ЮЛ;394090, г.Воронеж, ул. Ростовская,58;Да;Нет;;;;;;;
"ООО НПО ""Техноприбор""";"ООО НПО""Техноприбор""";ООО;6730076290;673001001;;;ЮЛ;;Да;Нет;;;;;;;
Трамвайно-троллейбусное предприятие, МУП;"МУП ""Трамвайно-троллейбусное предприятие""";МУП;5752033428;575201001;;;ЮЛ;302005, г. Орел, ул. Карачевская, д 144;Да;Нет;;;;;;;
"УФПС Орловской области - филиала ФГУП ""Почта России""";"УФПС Орловской области - филиала ФГУП ""Почта России""";ФГУП;7724261610;575302001;;;ЮЛ;131000, г. Москва, Варшавское шоссе, д.34;Да;Нет;;;;;;;
Филиал ЦЛАТИ по Воронежской области;"Федеральное государственное бюджетное учреждение ""Центр лабораторного анализа и технических измерений по Центральному федеральному округу""";;5042060410;366202001;;;ЮЛ;394049, г. Воронеж, Рабочий проспект, 101-б, оф. 601;Да;Нет;;;;;;;
"ЗАО ""МАСТЕРХОСТ""";"ЗАО ""МАСТЕРХОСТ""";ЗАО;7736220375;771501001;;;ЮЛ;127410, г. Москва, Алтуфьевское шоссе д.37, корпус 1;Да;Нет;;;;;;;
"ООО РИФ ""Кварта""";"ООО РИФ ""Кварта""";ООО;3662004796;366201001;;;ЮЛ;394016, г. Воронеж, пер. Ученический, д.5;Да;Нет;;;;;;;
ВООООО ВДПО;"Воронежское областное отделение Общероссийской общественной организации ""Всероссийское добровольное пожарное общество""";ООО;3662019680;366201001;;;ЮЛ;394026, г. Воронеж, ул. 45 Стрелковой дивизии, 228;Да;Нет;;;;;;;
"НМУП ""Центр коммунальных расчетов и сборов""";"НМУП ""Центр коммунальных расчетов и сборов""";МУП;7116028992;711601001;;;ЮЛ;Тульская обл., г. Новомосковск, ул. Комсомольская, д.34/25;Да;Нет;;;;;;;
"ФГУП ""Почта России""";"ФГУП ""Почта России""";ФГУП;7724261610;366602001;;;ЮЛ;131000, г. Москва, Варшавское шоссе, д.37;Да;Нет;;;;;;;
"ФГУП ""Южное аэрогеодезическое предприятие"" Курский филиал (Курскгеодезия)";"ФГУП ""Южное аэрогеодезическое предприятие"" Курский филиал (Курскгеодезия)";ФГУП;6162004000;463245001;;;ЮЛ;344034,г.Ростов-на-Дону,ул.Загорская,17;Да;Нет;;;;;;;
"ООО ""Газпром межрегионгаз Курск""";"ООО ""Газпром межрегионгаз Курск""";ООО;4629051286;463250001;;;ЮЛ;305000, г.Курск, ул.М.Горького, 9;Да;Нет;;;;;;;
"ООО ""РН-Карт-Орел""";"ООО ""РН-Карт-Орел""";ООО;5752047621;575201001;;;ЮЛ;РФ, 302001, г. Орел, ул. Маяковского, 40.;Да;Нет;;;;;;;
"ОАО ""Курскрезинотехника""";"ОАО ""Курскрезинотехника""";ООО;4632001454;463250001;;;ЮЛ;305018, г. Курск, пр. Ленинского комсомола, 2;Да;Нет;;;;;;;
"ЗАО ""Энергокомплект""";"ЗАО ""Энергокомплект""";ЗАО;7806151150;780601001;;;ЮЛ;195426 г.Санкт-Петербург пр Индустриальный д.7 лит А пом 2Н;Да;Нет;;;;;;;
"ООО ""АмТрейд""";"ООО ""АмТрейд""";ООО;7717551678;771701001;;;ЮЛ;129515 г.Москва ул. Академика Королева д 13 оф 680;Да;Нет;;;;;;;
"ФГУП ""Ведомственная охрана"" Минэнерго России";"ФГУП ""Ведомственная охрана"" Минэнерго России";ФГУП;7705492450;771701001;;;ЮЛ;109074, г.Москва, Китайгородский пр., д.7;Да;Нет;;;;;;;
"ЗАО ""Прибороремонт""";"ЗАО ""Прибороремонт""";ЗАО;3665010043;366501001;;;ЮЛ;394038, г. Воронеж, ул. Пешестрелецкая, 74;Да;Нет;;;;;;;
"ООО ""Бизнес Кар Курск""";"ООО ""Бизнес Кар Курск""";ООО;4625004824;463201001;;;ЮЛ;305029, г. Курск, ул. Карла маркса, 55.;Да;Нет;;;;;;;
"Управление Федеральной почтовой связи - филиал ФГУП ""Почта России""";"Управление Федеральной почтовой связи - филиал ФГУП ""Почта России""";ФГУП;7724261610;325743001;;;ЮЛ;131000, г.Москва, Варшавское шоссе, 37;Да;Нет;;;;;;;
"ОАО ""РЖД""";"Открытое акционерное общество ""Российские железные дороги""";ООО;7708503727;997650001;;;ЮЛ;107174, Россия, г. Москва, ул. Басманная Н.,  дом № 2;Да;Нет;;;;;;;
"ООО ""ЗОРГ""";"ООО ""ЗОРГ""";ООО;7106061479;710601001;;;ЮЛ;300012, г. Тула, ул. Смидович, д. 4, оф. 1 а.;Да;Нет;;;;;;;
"Филиал ПАО ""ФСК ЕЭС"" - Приокское ПМЭС";"Филиал ПАО ""ФСК ЕЭС"" - Приокское предприятие магистральных электрических сетей";ПАО;4716016979;710702001;;;ЮЛ;117630, г. Москва, ул. Академика Челомея, д. 5а;Да;Нет;;;;;;;
"ЗАО ""Росма""";"ЗАО ""Росма""";ЗАО;5257058379;526001001;;;ЮЛ;603950,г.Н.Новгород,ул.Акимова,д.50;Да;Нет;;;;;;;
"ЗАО ""ЭКОЛОГИЯ""";"ЗАО ""Экология""";ЗАО;5751018378;575401001;;;ЮЛ;302023, г. Орел, пер. Силикатный, 2;Да;Нет;;;;;;;
"ООО фирма ""Риан""";"ООО Фирма ""Риан""";ООО;3666063680;366601001;;;ЮЛ;394030, г. Воронеж, ул. Карла маркса, д. 67;Да;Нет;;;;;;;
"ООО ""СтройБытСервис""";"ООО ""СтройБытСервис""";ООО;3666099608;366501001;;;ЮЛ;394038, г. Воронеж, ул. Богачева, д. 53;Да;Нет;;;;;;;
